Account Holder Name,Account Number,IFSC,Bank Name,Amount
John Doe,12345678901,SBIN0001234,State Bank of India,1000.00
Jane Smith,98765432109,HDFC0005678,HDFC Bank,1500.50
Mike Johnson,45678912345,ICIC0009101,ICICI Bank,750.25
Sarah Wilson,78901234567,PNB0002345,Punjab National Bank,2000.00
David Brown,23456789012,AXIS0006789,Axis Bank,1250.75
Emily Clark,67890123456,KKBK0003456,Kotak Mahindra Bank,1800.00
Chris Evans,34567890123,YESB0007890,Yes Bank,950.00
Olivia Lee,89012345678,IDFB0004321,IDFC First Bank,1200.00
Daniel Kim,56789012345,BOB0008765,Bank of Baroda,1100.50
Priya Singh,90123456789,INDI0005432,Indian Bank,1600.00
